Group Variable,Group,N,RMSE,MAE,RÂ²
division_name,Pacific,254,0.0030981567887409488,0.0023650426927185504,0.5791624826276665
division_name,Middle Atlantic,238,0.0029419489336704506,0.0022101249394053065,0.3921698140670813
division_name,South Atlantic,203,0.003375256989528902,0.002560627270962813,0.2886994935387207
division_name,West North Central,247,0.0022978321273435898,0.0015658889555172236,0.4828924694265405
division_name,East North Central,281,0.0022741903091738087,0.0016075151398723519,0.41815719047821875
division_name,Mountain North,177,0.0017200577909932983,0.001354693704284373,0.4382957632760798
division_name,New England,127,0.003053625524196061,0.0020781146324874516,0.23015975325572513
division_name,East South Central,116,0.0031748439133680085,0.0023943433030970637,0.4150118526397456
division_name,Mountain South,83,0.003833463633890176,0.0028455530410000066,0.29267432202880295
division_name,West South Central,152,0.003941775480012087,0.003049487942413386,0.34557664321443204
envelope_class,medium,1110,0.003056698414130024,0.002204922755977364,0.46163333846302035
envelope_class,good,592,0.0025003163300805075,0.0017878079733173063,0.3636736340854204
envelope_class,poor,176,0.0033324619157142285,0.0026154880642382246,0.49080265714126436
climate_zone,mixed,976,0.002788315039439648,0.0020622093435307466,0.377089824456731
climate_zone,cold,480,0.0020492696278024557,0.001386795827443855,0.4537718617751575
climate_zone,mild,422,0.0039012631822399955,0.0030516449340890687,0.3482496553928063
